s_m,hmin_m,hmax_m,cav_any
1240.0,2.0,998.5647801080897,False
1250.0,2.0,998.3554669561025,False
1260.0,2.0,998.1352869172154,False
1270.0,2.0,997.9097320164897,False
1280.0,2.0,997.6815602532862,False
1290.0,2.0,997.4521565075447,False
1300.0,2.0,997.2222160053612,False
1310.0,2.0,996.992087584749,False
1320.0,2.0,996.7619461001632,False
1330.0,2.0,996.5318790196789,False
1340.0,2.0,996.3019299193544,False
1350.0,2.0,996.0721203292793,False
1360.0,2.0,995.8424607069148,False
1370.0,2.0,995.6129559499311,False
1380.0,2.0,995.6819091817724,False
1390.0,2.0,995.7109001421753,False
1400.0,2.0,995.6128435787551,False
1410.0,2.0,995.4510844368692,False
1420.0,2.0,995.2574170604144,False
1430.0,2.0,995.0478052586947,False
1440.0,2.0,994.8302655884432,False
1450.0,2.0,994.6088238947107,False
1460.0,2.0,994.3855018349152,False
1470.0,2.0,994.1613144745829,False
1480.0,2.0,993.9367713074482,False
1490.0,2.0,993.7121278963023,False
1500.0,2.0,993.4875122611313,False
1510.0,2.0,993.2629883624882,False
1520.0,2.0,993.0385879837216,False
1530.0,2.0,992.8143267451671,False
1540.0,2.0,992.5902121494286,False
1550.0,2.0,992.3662476216555,False
1560.0,2.0,992.3845647082385,False
1570.0,2.0,992.4469696978299,False
1580.0,2.0,992.3684288283387,False
1590.0,2.0,992.2192082822409,False
1600.0,2.0,992.034573693327,False
1610.0,2.0,991.8322311846555,False
1620.0,2.0,991.6210721382229,False
1630.0,2.0,991.405561739103,False
1640.0,2.0,991.187942308675,False
1650.0,2.0,990.9693397562962,False
1660.0,2.0,990.7503192651093,False
1670.0,2.0,990.5311643816622,False
1680.0,2.0,990.3120171952949,False
1690.0,2.0,990.092948745076,False
1700.0,2.0,989.873994383782,False
1710.0,2.0,989.6551715414016,False
1720.0,2.0,989.4364886424639,False
1730.0,2.0,989.2179495889253,False
1740.0,2.0,988.9995560111511,False
1750.0,2.0,989.115303550614,False
1760.0,2.0,989.1379216381179,False
1770.0,2.0,989.042168952122,False
1780.0,2.0,988.8870616168576,False
1790.0,2.0,988.702222773511,False
1800.0,2.0,988.5025264674257,False
1810.0,2.0,988.2954421039381,False
1820.0,2.0,988.0847207803504,False
1830.0,2.0,987.8722461941204,False
1840.0,2.0,987.658964148884,False
1850.0,2.0,987.4453493784584,False
1860.0,2.0,987.231640013805,False
1870.0,2.0,987.0179553469713,False
1880.0,2.0,986.8043549813835,False
1890.0,2.0,986.5908685371202,False
1900.0,2.0,986.3775105766442,False
1910.0,2.0,986.1642880987375,False
1920.0,2.0,985.9512043029297,False
1930.0,2.0,985.7382604803076,False
1940.0,2.0,985.6794403573451,False
1950.0,2.0,985.7966365028947,False
1960.0,2.0,985.7510538311151,False
1970.0,2.0,985.6238312378448,False
1980.0,2.0,985.4556864943322,False
1990.0,2.0,985.2670620470643,False
2000.0,2.0,985.0682231624774,False
2010.0,2.0,984.8643249893753,False
2020.0,2.0,984.6579563968039,False
2030.0,2.0,984.4504173746113,False
2040.0,2.0,984.2423605658815,False
2050.0,2.0,984.0341134755138,False
2060.0,2.0,983.8258402986079,False
2070.0,2.0,983.6176232041066,False
2080.0,2.0,983.4095031614632,False
2090.0,2.0,983.2015004465247,False
2100.0,2.0,982.9936249410276,False
2110.0,2.0,982.7858813049667,False
2120.0,2.0,982.5782715778038,False
2130.0,2.0,982.3707964807136,False
2140.0,2.0,982.2568657895763,False
2150.0,2.0,982.4095744988169,False
2160.0,2.0,982.3845230014583,False
2170.0,2.0,982.2703129050728,False
2180.0,2.0,982.1114035774062,False
2190.0,2.0,981.9301150961959,False
2200.0,2.0,981.737655421874,False
2210.0,2.0,981.5396531089173,False
2220.0,2.0,981.3389347946486,False
2230.0,2.0,981.1369199025241,False
2240.0,2.0,980.9343210754736,False
2250.0,2.0,980.7314959658821,False
2260.0,2.0,980.5286239264971,False
2270.0,2.0,980.3257947525008,False
2280.0,2.0,980.1230532566431,False
2290.0,2.0,979.920421658065,False
2300.0,2.0,979.7179108257329,False
2310.0,2.0,979.5155259298103,False
2320.0,2.0,979.313269277905,False
2330.0,2.0,979.1111417405929,False
2340.0,2.0,978.9091434661982,False
2350.0,2.0,978.8437789060728,False
2360.0,2.0,978.9807137379598,False
2370.0,2.0,978.9504592017098,False
2380.0,2.0,978.8363458445139,False
2390.0,2.0,978.680190612022,False
2400.0,2.0,978.5029876601177,False
2410.0,2.0,978.3152793010111,False
2420.0,2.0,978.1223598431725,False
2430.0,2.0,977.9268880739796,False
2440.0,2.0,977.7301991278355,False
2450.0,2.0,977.5329633257528,False
2460.0,2.0,977.3355170763898,False
2470.0,2.0,977.138029074916,False
2480.0,2.0,976.9405837759741,False
2490.0,2.0,976.743223322813,False
2500.0,2.0,976.545968606632,False
2510.0,2.0,976.3488298440691,False
2520.0,2.0,976.1518118900251,False
2530.0,2.0,975.9549169063932,False
2540.0,2.0,975.7581457038955,False
2550.0,2.0,975.5614984119696,False
2560.0,2.0,975.3649748180228,False
2570.0,2.0,975.1685745376884,False
2580.0,2.0,975.3518143834906,False
2590.0,2.0,975.3741782131342,False
2600.0,2.0,975.2891880518293,False
2610.0,2.0,975.1503600261743,False
2620.0,2.0,974.9845584973355,False
2630.0,2.0,974.8052727999625,False
2640.0,2.0,974.6192771163746,False
2650.0,2.0,974.4299734630919,False
2660.0,2.0,974.239070271051,False
2670.0,2.0,974.0474253682125,False
2680.0,2.0,973.855469353851,False
2690.0,2.0,973.6634182435316,False
2700.0,2.0,973.4713802733929,False
2710.0,2.0,973.2794095461488,False
2720.0,2.0,973.0875329748558,False
2730.0,2.0,972.8957638157108,False
2740.0,2.0,972.704108468256,False
2750.0,2.0,972.5125698920554,False
2760.0,2.0,972.3211493255625,False
2770.0,2.0,972.1298471541481,False
2780.0,2.0,971.9386633536183,False
2790.0,2.0,971.7475977253041,False
2800.0,2.0,971.5566500339673,False
2810.0,2.0,971.7393769248054,False
2820.0,2.0,971.7701914677189,False
2830.0,2.0,971.6921451127484,False
2840.0,2.0,971.5595034375038,False
2850.0,2.0,971.3995077903252,False
2860.0,2.0,971.2258384527247,False
2870.0,2.0,971.0453681551608,False
2880.0,2.0,970.8615526099879,False
2890.0,2.0,970.6761338418894,False
2900.0,2.0,970.4899969764065,False
2910.0,2.0,970.3036026997581,False
2920.0,2.0,970.1172078269574,False
2930.0,2.0,969.930981337327,False
2940.0,2.0,969.7450708596564,False
2950.0,2.0,969.5596488917545,False
2960.0,2.0,969.3749560411104,False
2970.0,2.0,969.1913540768421,False
2980.0,2.0,969.009401499395,False
2990.0,2.0,968.8299679387833,False
3000.0,2.0,968.6544120750349,False
3010.0,2.0,968.4848571610532,False
3020.0,2.0,968.324631635234,False
3030.0,2.0,968.1789395327423,False
3040.0,2.0,968.0625835527549,False
3050.0,2.0,968.3295664684146,False
3060.0,2.0,968.4491726102863,False
3070.0,2.0,968.5390874814567,False
3080.0,2.0,968.6810604529999,False
3090.0,2.0,968.9531423207209,False
3100.0,2.0,969.4845800068052,False
3110.0,2.0,970.3249481870018,False
3120.0,2.0,971.4141471319028,False
3130.0,2.0,972.3652057296849,False
3140.0,2.0,973.4070551227564,False
3150.0,2.0,974.4754468672436,False
3160.0,2.0,975.4494451892599,False
3170.0,2.0,976.5699175073786,False
3180.0,2.0,977.5473296325232,False
3190.0,2.0,978.6207243556978,False
3200.0,2.0,979.7177420956796,False
3210.0,2.0,980.7224922221753,False
3220.0,2.0,981.8744638215906,False
3230.0,2.0,982.8798282204482,False
3240.0,2.0,983.9847100651847,False
3250.0,2.0,985.1117558771994,False
3260.0,2.0,986.1471942162002,False
3270.0,2.0,987.3309005710804,False
3280.0,2.0,988.3658614723727,False
3290.0,2.0,989.5021748931578,False
3300.0,2.0,990.66069043028,False
3310.0,2.0,991.726756478739,False
3320.0,2.0,992.9424430335791,False
3330.0,2.0,994.0086905087362,False
3340.0,2.0,995.1763830719767,False
3350.0,2.0,996.3678498798608,False
3360.0,2.0,997.4644867092821,False
3370.0,2.0,998.7124092941997,False
3380.0,2.0,999.8116795510543,False
3390.0,2.0,1001.0107024123313,False
3400.0,2.0,1002.2366421839929,False
3410.0,2.0,1003.3637969567835,False
3420.0,2.0,1004.6442222123708,False
3430.0,2.0,1005.77829780959,False
3440.0,2.0,1007.0086062201447,False
3450.0,2.0,1008.2705809787718,False
3460.0,2.0,1009.4282054960511,False
3470.0,2.0,1010.7414113059181,False
