t_s,H_m,P_bar
3.8431444561890156,65.0,6.3765
3.8433232403561255,65.0,6.3765
3.843502024523235,65.0,6.3765
3.8436808086903445,65.0,6.3765
3.8438595928574544,65.0,6.3765
3.844038377024564,65.0,6.3765
3.844217161191674,65.0,6.3765
3.8443959453587833,65.0,6.3765
3.8445747295258927,65.0,6.3765
3.8447535136930027,65.0,6.3765
3.844932297860112,65.0,6.3765
3.8451110820272216,65.0,6.3765
3.8452898661943316,65.0,6.3765
3.845468650361441,65.0,6.3765
3.845647434528551,65.0,6.3765
3.8458262186956604,65.0,6.3765
3.84600500286277,65.0,6.3765
3.84618378702988,65.0,6.3765
3.8463625711969893,65.0,6.3765
3.846541355364099,65.0,6.3765
3.8467201395312087,65.0,6.3765
3.846898923698318,65.0,6.3765
3.847077707865428,65.0,6.3765
3.8472564920325376,65.0,6.3765
3.847435276199647,65.0,6.3765
3.847614060366757,65.0,6.3765
3.8477928445338665,65.0,6.3765
3.8479716287009764,65.0,6.3765
3.848150412868086,65.0,6.3765
3.8483291970351954,65.0,6.3765
3.8485079812023053,65.0,6.3765
3.848686765369415,65.0,6.3765
3.8488655495365243,65.0,6.3765
3.849044333703634,65.0,6.3765
3.8492231178707437,65.0,6.3765
3.8494019020378536,65.0,6.3765
3.849580686204963,65.0,6.3765
3.8497594703720726,65.0,6.3765
3.8499382545391825,65.0,6.3765
3.850117038706292,65.0,6.3765
3.8502958228734014,65.0,6.3765
3.8504746070405114,65.0,6.3765
3.850653391207621,65.0,6.3765
3.8508321753747308,65.0,6.3765
3.8510109595418403,65.0,6.3765
3.8511897437089497,65.0,6.3765
3.8513685278760597,65.0,6.3765
3.851547312043169,65.0,6.3765
3.851726096210279,65.0,6.3765
3.8519048803773885,65.0,6.3765
3.852083664544498,65.0,6.3765
3.852262448711608,65.0,6.3765
3.8524412328787174,65.0,6.3765
3.852620017045827,65.0,6.3765
3.852798801212937,65.0,6.3765
3.8529775853800463,65.0,6.3765
3.8531563695471562,65.0,6.3765
3.8533351537142657,65.0,6.3765
3.853513937881375,65.0,6.3765
3.853692722048485,65.0,6.3765
3.8538715062155946,65.0,6.3765
3.854050290382704,65.0,6.3765
3.854229074549814,65.0,6.3765
3.8544078587169235,65.0,6.3765
3.8545866428840334,65.0,6.3765
3.854765427051143,65.0,6.3765
3.8549442112182524,65.0,6.3765
3.8551229953853623,65.0,6.3765
3.8553017795524718,65.0,6.3765
3.8554805637195813,65.0,6.3765
3.855659347886691,65.0,6.3765
3.8558381320538007,65.0,6.3765
3.8560169162209106,65.0,6.3765
3.85619570038802,65.0,6.3765
3.8563744845551295,65.0,6.3765
3.8565532687222395,65.0,6.3765
3.856732052889349,65.0,6.3765
3.856910837056459,65.0,6.3765
3.8570896212235684,65.0,6.3765
3.857268405390678,65.0,6.3765
3.8574471895577878,65.0,6.3765
3.8576259737248972,65.0,6.3765
3.8578047578920067,65.0,6.3765
3.8579835420591166,65.0,6.3765
3.858162326226226,65.0,6.3765
3.858341110393336,65.0,6.3765
3.8585198945604455,65.0,6.3765
3.858698678727555,65.0,6.3765
3.858877462894665,65.0,6.3765
3.8590562470617744,65.0,6.3765
3.859235031228884,65.0,6.3765
3.859413815395994,65.0,6.3765
3.8595925995631033,65.0,6.3765
3.8597713837302132,65.0,6.3765
3.8599501678973227,65.0,6.3765
3.860128952064432,65.0,6.3765
3.860307736231542,65.0,6.3765
3.8604865203986516,65.0,6.3765
3.8606653045657615,65.0,6.3765
3.860844088732871,65.0,6.3765
3.8610228728999805,65.0,6.3765
3.8612016570670904,65.0,6.3765
3.8613804412342,65.0,6.3765
3.8615592254013094,65.0,6.3765
3.8617380095684193,65.0,6.3765
3.8619167937355288,65.0,6.3765
3.8620955779026387,65.0,6.3765
3.862274362069748,65.0,6.3765
3.8624531462368576,65.0,6.3765
3.8626319304039676,65.0,6.3765
3.862810714571077,65.0,6.3765
3.8629894987381865,65.0,6.3765
3.8631682829052965,65.0,6.3765
3.863347067072406,65.0,6.3765
3.863525851239516,65.0,6.3765
3.8637046354066253,65.0,6.3765
3.863883419573735,65.0,6.3765
3.8640622037408447,65.0,6.3765
3.8642409879079542,65.0,6.3765
3.8644197720750637,65.0,6.3765
3.8645985562421736,65.0,6.3765
3.864777340409283,65.0,6.3765
3.864956124576393,65.0,6.3765
3.8651349087435025,65.0,6.3765
3.865313692910612,65.0,6.3765
3.865492477077722,65.0,6.3765
3.8656712612448314,65.0,6.3765
3.8658500454119413,65.0,6.3765
3.866028829579051,65.0,6.3765
3.8662076137461603,65.0,6.3765
3.86638639791327,65.0,6.3765
3.8665651820803797,65.0,6.3765
3.866743966247489,65.0,6.3765
3.866922750414599,65.0,6.3765
3.8671015345817086,65.0,6.3765
3.8672803187488185,65.0,6.3765
3.867459102915928,65.0,6.3765
3.8676378870830375,65.0,6.3765
3.8678166712501474,65.0,6.3765
3.867995455417257,65.0,6.3765
3.8681742395843663,65.0,6.3765
3.8683530237514763,65.0,6.3765
3.8685318079185858,65.0,6.3765
3.8687105920856957,65.0,6.3765
3.868889376252805,65.0,6.3765
3.8690681604199146,65.0,6.3765
3.8692469445870246,65.0,6.3765
3.869425728754134,65.0,6.3765
3.869604512921244,65.0,6.3765
3.8697832970883534,65.0,6.3765
3.869962081255463,65.0,6.3765
3.870140865422573,65.0,6.3765
3.8703196495896823,65.0,6.3765
3.870498433756792,65.0,6.3765
3.8706772179239017,65.0,6.3765
3.870856002091011,65.0,6.3765
3.871034786258121,65.0,6.3765
3.8712135704252306,65.0,6.3765
3.87139235459234,65.0,6.3765
3.87157113875945,65.0,6.3765
3.8717499229265595,65.0,6.3765
3.871928707093669,65.0,6.3765
3.872107491260779,65.0,6.3765
3.8722862754278884,65.0,6.3765
3.8724650595949983,65.0,6.3765
3.872643843762108,65.0,6.3765
3.8728226279292173,65.0,6.3765
3.873001412096327,65.0,6.3765
3.8731801962634367,65.0,6.3765
3.873358980430546,65.0,6.3765
3.873537764597656,65.0,6.3765
3.8737165487647656,65.0,6.3765
3.8738953329318755,65.0,6.3765
3.874074117098985,65.0,6.3765
3.8742529012660945,65.0,6.3765
3.8744316854332044,65.0,6.3765
3.874610469600314,65.0,6.3765
3.874789253767424,65.0,6.3765
3.8749680379345333,65.0,6.3765
3.8751468221016427,65.0,6.3765
3.8753256062687527,65.0,6.3765
3.875504390435862,65.0,6.3765
3.8756831746029716,65.0,6.3765
3.8758619587700816,65.0,6.3765
3.876040742937191,65.0,6.3765
3.876219527104301,65.0,6.3765
3.8763983112714104,65.0,6.3765
3.87657709543852,65.0,6.3765
3.87675587960563,65.0,6.3765
3.8769346637727393,65.0,6.3765
3.877113447939849,65.0,6.3765
3.8772922321069587,65.0,6.3765
3.877471016274068,65.0,6.3765
3.877649800441178,65.0,6.3765
3.8778285846082876,65.0,6.3765
3.878007368775397,65.0,6.3765
3.878186152942507,65.0,6.3765
3.8783649371096165,65.0,6.3765
